response_concept_id,format_value
246137578,27 = Sioux Falls Sanford Center
246153539,32 = Bemidji Clinic
247861923,107 = Haiti
248303092,1 = 16 to 30 minutes
248374037,20=Testicular
248624772,3= Light Brown
249259453,129 = Kiribati
249485680,0 = A blistering sunburn
249673703,"2= Yes, I am currently using hormones or other medications to make my body look more feminine"
249750059,"237 = Tanzania, United Republic Of"
252853790,6 = 7 days per week
253098609,47 = Grapevine
254017984,0 = Very well
254061941,2= Water that was filtered using a filter like Brita or PUR in a pitcher or on a faucet
255112983,"3 = No, I want to add another seasonal or vacation home address (3rd address)"
255202365,3 = passwordAndPhone
255636184,33 = Stevens Point
255907182,1=Sr.
257211345,147 = Maldives
258023209,3 = 45 minutes
258181066,104 = Guinea
259218831,0 = No freckles
259643910,9 = October
261931804,15 = Minocqua
262256978,220 = Slovenia
262261831,62 = Cyprus
263412634,2 = With some difficulty
264163865,3 = 45 to 59 minutes
265452386,5 = Mostly masculine
265550580,0 = Didn't drink during this time
266326454,230 = Suriname
266600170,0 = Baseline
267104669,2 = Mild hair loss on the top of the head along the middle of the head.
267441074,2 = I don't have a preference for survey length and frequency
269380840,1 = in progress
270559240,4= Medium Brown
270752953,"1 = No, I want to enter another address"
270793412,"3=II, 2nd"
270994579,"4 = Yes, 5 or more times per week"
271882746,0 = Straight or heterosexual
274062548,"2 = Yes, more than 3 months ago"
275059825,1 = 10 to 14 days per month
275706407,1=Completed by someone else on behalf of study participant
276675681,89 = Gabon
277438316,4 = Shipped
277568192,5=Native Hawaiian or Other Pacific Islander
278139969,3 = 4
278577307,200 = Rwanda
279607212,90 = Gambia
282580702,3 = 6 to 10 times
282684754,80 = Faroe Islands
283025574,4=Cervical
283434980,1 = Not Active recruit signed in as Passive recruit
284343405,"3 = Yes, 3 or 4 times per week"
284446097,97 = Greece
285845479,55 = Congo
286592124,0 = January
288105260,170 = New Caledonia
288105839,"2 = Yes, fraternal twins (not identical)"
288321056,2 = Married
288564244,29 = BCC- Fort Worth
290010251,4= 5 glasses
290379732,5=No Longer Enrolling
290541411,226 = Southern Rhodesia
290716491,1= 500 unit per ml
291229603,43 = Cameroon
291934186,173 = Nicaragua
294014693,10 = Antigua And Barbuda
294020322,2 = Neither agree nor disagree
295785213,49 = Chile
295976386,18=Prostate
296312382,10=Pop up
299126445,20 = Barbados
299561721,"1 = Yes, but rarely"
299722216,5 = Amazon Fire Tablet
300267574,4 = Kaiser Permanente Hawaii
300633065,0 = Very light
300863887,5 = 6 days per week
303095574,1= Sound or restful
303349821,6 = Marshfield Clinic Health System
303352825,46 = Cayman Islands
303552867,3 = Follow-up 3
306722988,203 = Saint Kitts And Nevis
306890578,3 = Pregnancy loss before 20 weeks
307039299,113 = Iceland
307763550,5 = Research General
308427446,2=Asian
308633554,0 = I had both breasts removed during one surgery
308765753,2 = Neutral
310201523,0 = 100 unit per ml
310284905,1 = 50 to 100 feet
311981718,"5= Bottled water, including water from a store dispenser or delivered to your home"
312200270,4= 5 beers
314027711,108 = Heard Island And Mcdonald Islands
314487612,4 = More than 2 years ago
315885811,154 = Mayotte
317312221,0 = Blue
317567178,0 = In the past month
317718701,2 = 101 to 150 feet
317811347,77 = Do not know
319518299,19 = UCM Pop-Up
319570637,1=Not Hispanic or Latino
320254475,13 = Other computer
322059622,22 = HFH Pop-Up
324692899,2=Non-screening appointment
325119560,91 = Georgia
325478778,0 = Shorter than average
326198039,177 = Norfolk Island
326914254,38 = Burundi
327912200,3 = Kaiser Permanente Georgia
330168399,52 = Cocos (Keeling) Islands
330461666,2 = More than a day before
330745988,1= My periods stopped because I began taking female hormones during the menopausal transition or menopause (the change of life)
332067457,6 = Undeliverable address
332226274,0 = 1 glass
333208328,0 = United States Of America
333275194,11 = Argentina
333628672,"0 = No, I did not complete any of the sections"
333647143,0 = I had surgery to remove one ovary
333682419,8= 6 or more times per day
334390252,4 = 5 days per week
335774873,"185 = Palestine, State Of"
337516613,0 = Alive
341709648,2 = Other relative or proxy
343111826,4 = Street Segment
344766609,12 = Armenia
347968905,5= Didn't smoke cannabis during this time
348281054,1=Screening appointment
349122068,0 = 1
351028096,1= 1 to 5 times per year
351257378,3=Demographic Group
351464854,4 = 1 per day
351584248,7 = My periods stopped because I began taking gender affirming hormones
351928156,1 = Previous address 1
352316035,5 = Didn't vape cannabis during this time
353358909,1 = Yes
354020985,6 = Previous address 6
354856090,4= Water that was filtered with another type of filter (under sink or whole house)
355205294,5= 6 or more glasses
355753084,100 = Guadeloupe
356674370,0=Not matched
357184057,1 = Email
358413399,1 = Android
358729759,159 = Monaco
359034200,"202 = Saint Helena, Ascension And Tristan Da Cunha"
359106014,127 = Kazakhstan
360006866,132 = Kuwait
360734594,83 = France
363147933,4 = 51-55
365196404,"6 = No, I want to enter another address (6th address)"
365963159,109 = Holy See
366067357,243 = Trinidad And Tobago
367964536,4 = Without any difficulty
369438604,55 = Other | _ |
371268341,0 = Very Easy
374508062,"0 = Less than $10,000/year"
375001839,182 = Pacific Islands (Trust Territory)
375535639,5 = Received
376136630,2=Check Failed
379848047,1= Red
381878591,"4 = Moderate hair loss on the sides of the forehead as far back as the front of the ears, and moderate loss from the center of the forehead. Also, mild baldness on the top (crown) of the head. The two areas of hair loss are separated by a section of hair that goes across the top of the head."
382679079,"2 = More than 1 week ago, but in the past 4 weeks"
383505459,"4 = More than one, but not sure how many"
385246065,2= Medium
386598060,241 = Tokelau
388196732,2= 10 to 49 times
388370628,2 = Too irregular to guess or using hormonal medication or device (such as an intrauterine device (IUD)) to control menstrual cycle
388690303,2= Private well or spring
389478821,1 = Replacement 1 Kit
389550600,1 = Slightly interested
392051955,69 = Dominican Republic
394332730,106 = Guyana
394839071,145 = Malawi
397883980,40 = Irving
398006869,0 = Very often
398561594,88=None of these apply
399492201,33 = British Antarctic Territory
399540389,"5 = No, I want to enter another address (5th address)"
400090705,"4 = No, I want to enter another address (4th address)"
401230883,9 = Other tablet
401335456,"2=Other (Hispanic, Asian, American Indian/Alaskan Native, Native Hawaiian or Pacific Islander)"
401441319,211 = Saudi Arabia
402048066,2 = A few times permonth
402100137,151 = Martinique
402335383,4 = Less than 12 times per year
402752509,5 = Didn't use e-cigarettes or other vaping devices during this time
404564707,2= High school graduate or GED
404651070,3= Water that was filtered using reverse osmosis (under sink or whole house)
405267600,2 = Transgender Man
406621050,187 = Panama Canal Zone
406650257,7 = 8
407588445,114 = India
409608997,229 = Sudan
410008111,7 = Two-Spirit
410083265,2= More than 2 years to 3 years
411022152,5= 6 or more beers
411693327,39 = Byelorussian Ssr
411943417,2 = Johnson & Johnson
412554346,2= 3 beers
413495952,5= 6 or more shots
415513416,121 = Italy
417208949,1= Most days of the week
417633823,1 = Easy
418049936,0 = not yet begun
418361985,6= Twice per week
419220239,2 = Live birth and loss of one or more of multiples
419415087,"0 = No, not at all"
420091116,1= 2 beers
424768954,6 = 2 to 3 times per day
425604618,0 = 1 shot
426360242,1=Method used
427169173,"2 = No, I want to add another seasonal or vacation home address (2nd address)"
427405444,1=Criterium met
428999623,0 = 15 minutes or less
429773462,"8 = No, I want to add another seasonal or vacation home address (8th address)"
432193665,"3= Some college, no degree"
432722256,4=Hispanic/Latino/Black
433070901,30 = Sioux Falls Edith Center
435390912,118 = Ireland
436919389,70 = Dronning Maud Land
436956777,28 = NTX Biorepository
437269318,0 = Recreation
441424832,36 = Bulgaria
441766026,0 = 2D Mammogram. Also known as conventional digital mammography. Two pictures are typically taken of each breast—one from the side and one from above.
445549128,0 = Less than 15
446794016,"5 = Moderate hair loss on the sides of the forehead, as far back as the middle of the ears. Also, moderate baldness on the top (crown) of the head. The two areas of hair loss are separated by a thin strip of hair that goes across the top of the head."
448068764,0 = I had surgery to remove one fallopian tube
448069154,3= Three
448617425,27 = Bolivia (Plurinational State Of)
448861079,"1 = No, I want to add another seasonal or vacation home address (1st address)"
450700271,77 = Eswatini
450985724,3 = 46-50
451961786,3 = Previous address 3
452412599,5 = Kaiser Permanente Northwest
452963767,8 = Moderate hair loss on the sides of the head at the forehead and moderate-to-severe hair loss on the top of the head.
454222764,5 = 2-3 per day
455468743,4= No change in skin color
455684772,3= A lot of freckles
456171191,247 = Turks And Caicos Islands
456806539,1 = Letter with PIN
457186566,245 = Turkey
457944265,0=Not Requested
458019527,227 = Spain
458045785,8 = Previous address 8
458508122,2 = Refused all future activities
461386928,0 = Less than 1 year ago
462478011,0 = Very sound or restful
462661976,2 = 3 or more times
463122075,1= Water from a refrigerator that has a water filter
463502254,3 = April
464169461,4=10 to 15 hours per day
464631026,4 = Very much
464753847,1 = Less than 30 minutes
467088902,17 = Fargo South University
467388306,157 = Midway Islands
469115418,6= Black
469323437,1 = Viewed
471124138,119 = Isle Of Man
471260082,45 = Waco Fishpond
471294296,1= 3 to 4 times per week
471375042,2= 21 days or more
472940358,10 = Baylor Scott & White Health
473673527,3= 4 glasses
475454159,3= 4 beers
475614532,25 = BCC- Plano
475665841,1= A homemaker
477331464,2 = Cancer Connection Personal
477888494,168 = Nepal
478027242,257 = Uzbekistan
480609810,3= One day per week
481101742,67 = Djibouti
481217808,2 = 15 to 19 days per month
481978049,31 = Bouvet Island
482157734,4= Very Dark
482225200,17=Pancreatic
482753957,0 = iPhone (Apple)
483171323,174 = Niger
483909879,37 = North Garland
484055234,"1 =More than a month ago, but in the past year"
485011582,4= A few days per month
485163252,4= Four
486192236,5 = Non-binary
486306141,1 = Active
486319890,2 = 50 to 99
487003566,13 = Aruba
487265825,9 = Previous address 9
487512085,13 = Wisconsin Rapids
487917585,15=Non-melanoma skin (basal or squamous)
489292258,164 = Mozambique
489380324,10 = River East
489400183,"7=Head and neck (Including cancers of the mouth, sinuses, nose, or throat. Not including brain or skin cancers.)"
490725843,8=Native Hawaiian/Pacific Islander
490796638,4= Not at all flexible
494937029,2 = Warm
495372270,2 = ZIP
495970180,3 = 151 to 250 feet
496823485,1 = Follow-up 1
497940213,206 = Saint Pierre And Miquelon
499465239,219 = Slovakia
500023550,1 =I had surgery to remove remove my whole prostaste
500531505,171 = New Hebrides
500554958,1 = 2 days per week
500718853,"158 = Moldova, Republic Of"
501836969,7 = Head and neck
502236449,201 = Saint Barthelemy
503154121,4 = Novavax
503218834,0 = None
506053626,1 = Twice
509607548,2 = A step child
510148951,4 = Somewhat masculine
510296437,133 = Kyrgyzstan
510681016,2 = Previous address 2
510907305,"1 = 3D Mammogram. Also known as digital breast tomosynthesis. Multiple images are taken of the breast from different angles. A computer combines the images to create a 3D picture of the breast, which may give doctors a clearer view of the breast tissue."
511873578,1 = A few days per week (5 to 19 days per month)
512144428,5 = 6
512786135,1=Non-Member IHCS Patient
514068832,0 = No chance
514080822,0 = Never married
515798638,3 = iPad (Apple)
517216441,0 = Pending
517700004,9 = National Cancer Institute
518416174,2=Brain
518814501,4 = Research Personal
519761171,1= A few freckles
519767819,"1= A rural water system, community well, or spring serving at least 25 people or 15 households"
520089841,4= Less than 1 to 2 times per month
520950687,163 = Morocco
521321931,14 = Australia
522143286,3= Restless
522395860,3 = Once per week
522680498,1 = Not married but living with partner
524029283,0 = I had surgery to remove remove part of my prostate
525453860,0 = Not interested
525779785,"1 = Yes, less than once per week"
526238862,6 = Moderate hair loss on the sides and front of the forehead that are continuous with severe baldness on the top (crown) of the head. There is no clear strip of hair that separates these areas of balding.
526483288,4 = May
526602834,2= 3 servings
527229910,4 = Very hard
527680552,253 = United States Minor Outlying Islands
528017143,46 = Southwest Family Medicine
528373182,"8=VII, 7th"
529971621,205 = Saint Martin (French Part)
531313956,7=KPHI RRL
531629870,0 = HealthPartners
532172400,10=Liver
533302603,160 = Mongolia
534621077,0=Research
535003378,88 = None of the above
535389252,84 = French Afars And Issas
535551893,267 = Yemen
536341288,0 = Female
537173119,1 =I had surgery to remove both fallopian tubes
537560986,59 = Croatia
537785073,1 = Just long enough - the survey had just the right amount of questions
537892528,11=3rd
539025306,0=Criterium not met
541300533,1 = Mostly feminine
542659759,2 = completed
545630587,1= 2 servings
547241189,225 = South Sudan
548167685,2 = Too irregular to guess
548392715,1 = Henry Ford Health System
548625244,135 = Latvia
548628123,1 = A little bit
549031911,0 = Too irregular to guess or used hormonal medication or device such as an intrauterine device IUD== to control menstrual cycle
549638643,1= 2 glasses
550615107,6 = Ectopic or tubal pregnancy (fertilized egg implants outside of the uterus)
551201830,2 = I do not have time
551525967,"1=Yes, full-time student"
552278254,1 = Very mild hair loss or thinning of hair on the top of the head along the middle of the head
554549266,5= 6 or more servings
554920493,11 = PC (Windows)
554939584,57 = Cook Islands
555374628,0 = Full sibling
559049897,0 = 1 day per week
559106731,95 = Gibraltar
562508684,3= 4 shots
562663942,0 = Altruism Personal
564796245,190 = Peru
565036180,"2 = Yes, 1 or 2 times per week"
565450397,3 = 20 to 25 days per month
565881164,1 = Very good
567219545,"268 = Yemen, Democratic"
567539823,3 = Fairly interested
567590935,1=Revoked but not signed
567908725,2 = Somewhat
567969985,18 = MF Pop-Up
570271641,11=Henry Ford West Bloomfield Hospital
570293881,142 = Luxembourg
572474909,2=Hispanic/Latino
573635975,1 = Type 2
574104518,42 = Temple Roney
574368418,21 = HP Park Nicollet
574728716,"3 = No, I want to enter another address (3rd address)"
574954852,6 = July
575246057,72 = Egypt
576052130,2 = Too little time
576796184,2 = Intersex or other
578441679,123 = Japan
578520343,11 = You have entered the maximum number of seasonal or vacation home addresses. You will move on to the next questions
579685918,248 = Tuvalu
580377720,"0 = Yes, this list is complete"
581659944,238 = Thailand
582006876,2 = 2 to 3 days per month
582425113,0=My periods stopped naturally due to menopause
582602017,0=Two (twins)
582670006,2=Member and Patient of IHCS Health Plan
582683814,269 = Zambia
583113200,7 = Previous address 7
584368278,0 = Retired
585076356,6= My periods stopped after radiation or chemotherapy
585672584,2= Recreation and as medicine
586272115,"2 = Yes, I have had this in the past, but I am not experiencing it now"
587052987,4= 100 to 249
587473515,255 = Upper Volta
588529567,"0 = Longer surveys, sent less often (such as 60-minute surveys, sent every year)"
589224449,8 = Sioux Falls Imagenetics
589555871,26 = Bhutan
589702540,0=Completed by study participant
589724105,1 = The right amount of time
589959753,1= A little shorter
591670915,"4 = Yes, in the past month"
593729902,66 = Denmark
594557208,5 = 5 to 6 times per week
595249233,0 = Less than once per month
595309766,259 = Venezuela (Bolivarian Republic Of)
596122041,6=Esophageal
597023793,167 = Nauru
597175457,1 = Child
597477164,2 = A lot
598242454,"7= Advanced degree Master's, Doctorate, etc."
601381820,4 = Moderate hair loss on the top of the head along the middle of the head.
601628757,58 = Costa Rica
602510992,194 = Portugal
603181162,16=Ovarian
603989030,44 = Killeen Main
604112428,103 = Guernsey
604455183,1 = Well
604663208,1 = Not Active to Passive
607648786,258 = Vanuatu
607793249,9=Leukemia (blood and bone marrow)
608163515,112 = Hungary
609124212,149 = Malta
610145443,92 = German Democratic Republic
611398522,6=Multi-racial
611768724,208 = Samoa
611945488,"5=IV, 4th"
612166858,0=Jr.
612964002,152 = Mauritania
614087017,"0 = Yes, for 15 minutes or more"
614395648,"1 = Yes, this is correct"
615680906,10 = November
615768760,1=Started
616621065,9 = 10 (a lot of pain)
617654521,199 = Russian Federation
618233724,5 = American Samoa
618686157,7 = Deceased
619337179,3 = Mild-to-moderate hair loss on the top of the head along the middle of the head.
619914973,"6 = No, I want to add another seasonal or vacation home address (6th address)"
621370621,4= Very restless
622008261,1 = Refused some activities
623310018,2 = A lot shorter
623546496,50 = China
624808470,0=Slightly louder than breathing
625202092,"4 = No, I want to add another seasonal or vacation home address (4th address)"
626558982,"3 =Yes, triplets or higher multiple birth"
626911538,2=Every few days
628115953,"1 = Shorter surveys, sent more often (such as 20-minute surveys, sent every 4 months)"
628177728,5 = 2 hours
628445697,"1 = Live birth: twins, triplets, or higher multiples"
628733063,0=Hispanic or Latino
629452816,"1 = Mild hair loss at the sides of the forehead, but not as far back as the ears."
629699641,3 = 5-6 per week
631272782,1 = 35-39
631498205,1=Check Passed
632371391,1= 1 day
632512449,3= 1 to 2 times per month
633404785,223 = South Africa
633740528,188 = Papua New Guinea
635067390,186 = Panama
635279662,3=Caucasian/White
636706443,5 = 56-60
637900673,1 = Once per month
638092100,4 = 1 hour
638335430,0 = Active recruit signed in as Passive recruit
640520411,4 = Over 10 years ago
641104372,"10 = No, I want to enter another address (10th address)"
643664527,10=2nd
645894551,3 = 1 to 2 days per week
646575069,122 = Jamaica
646675764,1 = Dead
646918928,1= A sunburn without blisters
647148178,4=Aging out of study
647504893,4 = Every day
647661834,265 = Wallis And Futuna
648219696,2 = Variant B
648459216,0=The participant (via the CSC directly or via a Connect site staff)
648665281,0 = 1 beer
648960871,44 = Never
649327523,3= 50 to 99 times
649436542,3 = Divorced
650420270,0 = I have not had a menstrual  period in the past 12 months
650465111,2 = Follow-up 2
654207589,1 = Male
654558118,3 = Participant already enrolled
655309065,"4= I am currently using a hormonal medication or device (such as an intrauterine device (IUD)) to prevent pregnancy, manage my menstrual cycle symptoms, and/or manage conditions like endometriosis or polycystic ovarian syndrome (PCOS)"
656413979,94 = Ghana
656816477,2= Unemployed
657167265,7 = Sanford Health
657483796,0 = Not boxed
657978450,1 = Pfizer
658491312,0 = Current Address
658808644,1=The Connect Principal Investigator (or designate)
660308254,0=Cesarean
660669070,0 = 1-3 per month
661871565,0 = Moderna
663273321,0 = Initial Kit
663706936,8= Low-income/health professional shortage areas
664882224,1=Clinical
665036297,12=Non-Hodgkin's lymphoma
665277300,16 = Merrill
666365344,0 = Within the last 24 hours
667010122,6= A few days per year
667042764,214 = Seychelles
667794074,37 = Burkina Faso
668256654,1 = I had surgery to remove both kidneys
668407984,2= Two
668770150,"1 = Yes, I already completed my home mouthwash sample donation"
669023414,"2 = More than 2 years ago, but less than 5 years ago"
670680466,0 = Excellent
671267928,5 = 5 to 6 days per week
672312050,2 = Not long enough - I want to answer more questions
675442806,111 = Hong Kong
676299940,2 = March
676516297,0 = Every day or almost every day (20 to 31 days per month)
676569438,"7 = No, I want to enter another address (7th address)"
676601456,139 = Libya
676824724,4 = 5
677448625,143 = Macao
678602069,0 = I still live here
680590144,232 = Sweden
681745422,1 = Participant refusal
682636404,1 = Meeting
682916147,6=Post-Screening Selection
683466918,5=More than 15 hours per day
684900118,2=I do not commute to work
686379250,4= 4 days
686986259,1 = Altruism General
687057737,"2 = Yes, I completed some of the sections, but not all sections"
687445652,7 = 4 to 5 times per day
689829953,6= 6 days
690077051,2= 6 to 11 times per year
691714762,12 = Rice Lake
691929049,221 = Solomon Islands
691987855,217 = Singapore
692155653,2= A mild sunburn that becomes a tan
692275326,1 = Marshfield
692824372,2 = More than 3 months
693010445,"9 = Moderate hair loss across the entire forehead, as far back as the middle of the ears."
693256778,4 = Less than once per week
693896863,54 = Comoros
695313038,189 = Paraguay
696181630,2=Hazel
696650324,5 = Change in Eligibility Status
698283667,3 = Lake Hallie
700080862,8 = 9
701389038,4 = I have Wi-Fi and/or internet connectivity issues
702641611,0 = Unread
703370365,5 = I drink tap water but don't know how often
703385619,3 = City
704529432,2=Requested and signed
705893573,3 = Albania
706062016,0 =  _times per day
706663693,213 = Serbia
706927479,7 = HFH Livonia Research Clinic
707293927,105 = Guinea-Bissau
707601969,1 = Yes |_|
709650750,0 = Your biological child
709969190,2= 2 days
709981397,212 = Senegal
711757828,0 = Control X
712278213,0=FedEx
713781738,0 = 30-34
713805786,16 = Azerbaijan
714549111,21 = Belarus
714922667,71 = Ecuador
715632875,8=KPNW RRL
716761013,"2 = Yes, but some days"
717366608,1 = Intersection
718537646,3= More than 3 years to 4 years
718687985,0 = Almost every day
719933364,2 = Good
719954633,0 = Extremely flexible
720288326,2=Four or more
721835388,19 = Bangladesh
722846087,7 = 66-70
722920826,138 = Liberia
723351427,"23 = BCC- HWC, BC"
723610783,74 = Equatorial Guinea
723614811,22=Uterine (endometrial)
723775357,0=White non-Hispanic
724612102,"1 = Yes, I have this symptom now"
724624086,0 = Less than 50 feet
727200870,3 = Asexual
728267588,1 = Initialized
728361002,68 = Dominica
728662578,0 = Street
729363341,0=Multiple times per day
729681071,2 = 30 minutes
729845236,"1 = More than 1 year ago, but less than 2 years ago"
730757606,1 = About average height
731141335,"3 = Yes, in the past week"
732008197,"10 = Severe hair loss across the entire forehead, as far back as the back of the ears."
733527132,4 = Widowed
734437214,0=Method not used
734611348,1 = Usually
734992634,1 = With much difficulty
734998477,"11 = Severe hair loss across the entire forehead, beyond the back of the ears."
735136116,"1 = More than 24 hours ago, but in the past week"
735330419,1 = Once or twice per week
736167436,236 = Tajikistan
736183094,5 = HFH K-13 Research Clinic
736217341,98 = Greenland
737467433,63 = Czechia
737913249,156 = Micronesia (Federated States Of)
738284740,"2=Yes, part-time student"
738454194,1=1 to 2 hours per day
740704686,79 = Falkland Islands (Malvinas)
741094625,5 = Separated
742032816,"8 = $200,000 or more/year"
742184633,86 = French Polynesia
745205161,2 = Participant attempted
745366882,2=Chair of the NIH IRB/Compliance Office/OHSRP
745561936,"2 = $25,000-$34,999/year"
746038746,99=Declined
746143595,6 = 4+ per day
746328729,7 = Severehair loss on the top of the head from the forehead to the back of the ears.
746447615,262 = Virgin Islands (British)
746635399,"1 = Yes, for less than 15 minutes"
747099514,2 = Moderate chance
749199085,43 = Temple Westfield
751569137,1 = Not listed here
751674930,153 = Mauritius
752219885,"3 = More than a year ago, but in the past 2 years"
752948709,10=Henry Ford Main Campus
754745617,11=Lung or bronchial
755034888,35 = HFH Jackson
755558825,7 = 5 to 6 hours
756073829,4= A few times per week
756470750,3 = A few times per month (1 to 4 days per month)
756948639,3= Unable to work (diabled)
757609794,5=I was pregnant or breastfeeding during the last year
759356722,1= One
760340155,0 = Strongly agree
760941098,30 = Botswana
760969884,3 = Quite a bit
761993321,215 = Sierra Leone
763273112,6=KPCO RRL
764708931,1= Very flexible
764891959,19=Stomach
766568955,264 = Wake Island
