question_concept_id,question_text,question_type,secondary_source_concept_id,source_question_concept_id
111580947,How many times have you had a mammogram?,Multiple Choice,369168474,
112024853,"Have you ever taken metformin (such as Glucophage, Glumetza, Riomet, Fortamet, or Glucophage XR) at least 4 times a month for 6 months or longer?",,745268907,
112151599,Have you had a menstrual period in the last 60 days? Please do not consider breakthrough bleeding (also known as spotting) as part of the menstrual period.,Required Multiple Choice,299215535,
113343940,When did you first have afull body skin examination?,Multiple Choice,369168474,
113352592,3-Seasonal City,,716117817,143927994
113557709,Address 6- About how deep [is/was] your private well?,,716117817,
113579866,Suspend all contact on case until DATE: MM/DD/YYYY,,635994596,
113681507,About how many years did you take baby or low-dose aspirin (81 mg or less)?,,745268907,
114227122,What is the participant's vital status at the time of manual chart review for RCA?,,637153953,
114529380,Which of these best describes your current employment status?,Optional Multiple Choice,726699695,
114795023,Date/Time Colon or Rectum Cancer Diagnosis Submitted,,242103797,
115195973,6-Seasonal Full Street name #1,,716117817,355179190
115422925,"Caring for children or adults (pushing stroller or wheelchair, lifting, bathing) during past 12 months",,745268907,733547268
115480943,I have had to work harder than usual to keep track of what I was doing,Nested,601305072,230486322
115504049,When were you last screened for cervical cancer?,Multiple Choice,369168474,
115707416,content: Text/body submitted in the incoming SMS message to the study Twilio number,,666892582,
115909186,"Month - During that time, did you ever use chewing tobacco, snus, snuff, or dip  every day?",,965707586,
115959973,Google Pixel,Optional Select All that Apply,506648060,731524314
116014097,How old were you when you stopped vaping cannabis every day?,,965707586,
116442173,"Bus or streetcar/trolley, light rail/trolley, light rail commute to past work",,716117817,311891586
116442364,DHQ3 respondent names array,,497020618,
116510981,How old were you when you first vaped cannabis?,,965707586,
116513065,Have you had a vaccine for COVID-19 in the past year?,Multiple choice,408693886,
116882225,"Motorcycle- Thinking about the one-way trip from your home to [insert address from PREWORK1 - PREWORK3/this address] on a usual workday, about how much time did you usually spend in each type of transportation?",,716117817,968388901
117249500,Age - Derived,,332759827,
117544868,4-Seasonal Full Street name #1,,716117817,192184336
117703279,10-Seasonal Street number,,716117817,778711683
117821961,Address 10-Please provide the cross streets of the intersection closest to this address:,,716117817,902193418
117943804,Season Address 3-Please provide the cross streets of the intersection closest to this address:,,716117817,370121390
118061122,"What was your longest-held job title? Please be descriptive. For example, high school math teacher, emergency room nurse, automobile painter.",Text only Response,726699695,
118237712,How old were you when you last used Depo-Provera?,,745268907,
118738120,Seasonal Address 6- What [is/was] the source of water to [insert address insert address from SEASADD1 - SEASADD3/ the 1st/2nd/3rd/etc. address you provided?,,716117817,118738120
118789503,Liposuction,"Optional Select All that Apply, Displayif in One or More Responses",726699695,624179836
119257304,"Age last used- During that time, how many days (1 to 30) did you dab THC concentrates in a usual month?",,965707586,
119378795,How old were you when you stopped smoking a tobacco pipe every day?,,965707586,
119449326,Autoset when HdWd_Datadestructionsigned_v1r0 selected,,635994596,
119483547,3-Seasonal Street number,,716117817,143927994
119632587,Algerian,Optional Select All that Apply,726699695,351657815
119643471,Sanford Health Reported Race,,883203566,
120016082,Irregular periods in which cycle length varies by more than 7-9 days,,745268907,547633480
120485458,Year last shift work,,745268907,199254974
120942783,Seasonal Address 4- About how deep [is/was] your private well?,,716117817,120942783
121031661,unsubscribe_timestamp: Autogenerated date/time recipient unsubscribed from email list,,708990554,
121149986,Crushed,,775188224,238268405
121430614,I do not have reliable access to the internet/a device - Refusal,,861315814,
121646540,Weight at 25 years old entry,"Multiple Text Boxes, Display if in One or More Responses",726699695,912857732
121884258,"Possible environmental pollutants in your neighborhood, such as drinking water quality or outdoor air pollution levels?",Nested,312845734,144761753
122054737,Please review the list below and tell us if it includes all of the addresses where you have lived for at least two years in the last 20 years. Address 8,Optional Multiple Choice,716117817,
122234136,Colon/Rectal screening - colonscopy,,242103797,130601750
122512425,CGR Run ID,,392245497,
123868967,Date Participant Deceased as reported to the CSC,,635994596,
123926260,Cigar,,965707586,103566006
123987148,Address multimatch indicator,,218382402,
124300201,Feel free to share more about these reasons or any other reasons for joining Connect. [text box],Text Box Plus Check Box,506648060,674994176
124320444,"9- Previous Review 10 - Within the past 20 years (that is, since [insert number calculated from CURRENT YEAR - 20]), have you lived anywhere else for at least two years ?",,716117817,
124391414,"Age started using chewing tobacco, snus, snuff, or dip on a regular basis",,965707586,257300783
124825757,"In a usual week, about how often do you drink tap water from your home? We are interested in all tap water, whether or not it has been filtered or treated.",,716117817,285545471
124830305,What do you think about the number of communications (emails and text messages) you get from the Connect team? Would you say there are:,Optional Multiple Choice,506648060,
125739724,Bag/Container/Thing 16,,948781977,
126331570,SSN Survey,,166676176,
126388230,Please choose the reason that best describes why you have not completed all the sections in the first survey: Other: Please describe text box,Optional Multiple Choice with Text Box (text in text box),506648060,886084185
126794793,Not able to return to your usual activities - Since your diagnosis,Grid with Multiple Choice Sub-Questions,299215535,136730307
127038003,"On days that you smoked when you were age [X / 70] and older, about how many pipe fills of tobacco did you smoke per day?",,965707586,
127871793,How old were you when you first smoked tobacco using a hookah or water pipe?,,965707586,
127963610,5-Previous Zip code,,716117817,113930886
128827522,Childhood City,,716117817,632533534
129025755,"Have you ever had an anal screening test to look for anal cancer or other medical conditions? During an anal screening test, you were lying on your side or bending over an exam table. A healthcare provider inserted a swab (which looks like a long Q-tip) into your anus to collect a small amount of cells. The cells were checked for the type of HPV that can lead to anal cancer.",Multiple Choice,369168474,
129202138,"t-score for social isolation, PROMIS-29",,601305072,
129226572,"1-Previous Apartment, suite, unit, building, etc.",,716117817,574985342
129284742,"On the days that you took insulin, what concentration did you take?",,745268907,850202336
129677435,"Age last used - During the time you last smoked cannabis, did you smoke every day?",,965707586,
130174162,3-Previous Street number,,716117817,680046149
130311122,"Within the last month, have you used prescription hormone therapy to relieve common symptoms of perimenopause and menopause (for example, hot flashes and vaginal dryness), or to reduce bone loss due to lowering levels of estrogen and progesterone?",Optional Multiple Choice,299215535,
130343311,What is the name of the physician who performed your screening? – Last name,,242103797,
130360374,Date/Time Pancreatic Cancer Diagnosis Submitted,,242103797,
130371375,Payment Round,,130371375,
130500844,"In a usual week, about how often do you use tap water from your home to make any other beverages or soup? We are interested in all tap water, whether or not it has been filtered or treated. Please describe [text box]",,716117817,364303962
131458944,I am worried that my information could be used to discriminate against me/my family - Refusal,,861315814,
132115595,Microsoft® Surface,Optional Select All that Apply,506648060,731524314
132343154,"Standard error of t-score for cognitive function, PROMIS-29",,601305072,
132548932,Chest Pain (Angina),"Optional Select All that Apply, Displayif in One or More Responses",726699695,167101091
132779701,Previous Employer Country Follow-Up,,716117817,350394531
132929440,Box ID,,948781977,
132979567,Seasonal Address 4- What [is/was] the source of water to [insert address insert address from SEASADD1 - SEASADD3/ the 1st/2nd/3rd/etc. address you provided? Please describe [text box],,716117817,105941645
133297530,Did a doctor or other health professional tell you that you have or had eclampsia or pre-eclampsia during this pregnacy?,,745268907,
133362151,Construction or equipment repair,Optional Select All that Apply,726699695,700374192
133396976,"On days that you used chewing tobacco, snus, snuff, or dip  when you were age [X / 25] to age [Y / 29], what is the total amount of time you used them per day?",,965707586,
134210521,"2-Seasonal Apartment, suite, unit, building, etc.",,716117817,279093430
134592375,Gout,Optional Select All that Apply,726699695,543728565
134624195,Seasonal Address 8- What year did you first spend time at [insert address from SEASADD1 - SEASADD3/ the 1st/2nd/3rd/etc. address you provided]?,,716117817,
134642404,"When you were told that you have or had fibrocystic breasts, or other benign breast disease, was it confirmed by biopsy?",Optional Multiple Choice,726699695,
135207939,"5 - Previous Review 6 - Within the past 20 years (that is, since [insert number calculated from CURRENT YEAR - 20]), have you lived anywhere else for at least two years ?",,716117817,
135591601,Currently checked into visit,,331584571,266600170
135725957,Bladder,Optional Select All that Apply,726699695,814510313
136341211,Bag/Container/Thing 2,,948781977,
136660779,"Does your usual one-way trip to [insert address from CURSCH1 - CURSCH3/this address] from your home involve travel on a highway, parkway, freeway, or toll road? An example is pictured.",,716117817,
136695974,"Diet beverages (e.g., soda, lemonade) (12 oz glass, bottle or can)",Nested,515124081,916948380
136941196,How interested are you in receiving genetic information like this that is not directly related to your health?,Multiple choice,312845734,
136956596,Trichomoniasis,Optional Select All that Apply,726699695,874709643
137172032,sid: Twilio SID for an incoming SMS message received by the study Twilio number,,666892582,
137216656,Walking commute from current work,,716117817,404697804
137286816,Bag/Container/Thing 19,,948781977,
137401245,Flag to indicate if the collection card is missing,,377669767,
137733407,"What type(s) of alcoholic beverages did you usually drink  - Other alcoholic beverages (such as wine coolers, hard soda, spiked seltzer (sparkling water), Smirnoff Ice, malt liquor, or pre-mixed cocktails)",,965707586,912659087
138097322,Login Last name,,925196539,
138116092,"In a usual week, about how often do you use tap water from your home to make a cup of hot tea? We are interested in all tap water, whether or not it has been filtered or treated.",,716117817,138116092
138397553,How many of the year did you commute to [insert address from CURWORK1 - CURWORK3/this address]?,,716117817,
138836502,"How many days per cycle did you use two separate pills, one estrogen and one progestin?",,745268907,
139208251,I still live there,,716117817,752015272
139245758,Date/time stamp sent by the site for clinical collection of urine.,,173836415,266600170
139603724,Autogenerated month verification status is updated,,218595434,
139673389,"In total, how many months or cycles did you take Clomid?",,745268907,
139822395,Thyroid,Optional Select All that Apply,726699695,814510313
140848765,How old were you when you first smoked a combination of cannabis with tobacco?,,965707586,
141249692,Please review the list below and tell us if it includes all of the addresses where you have spent a total of 24 months or more in the past 20 years. 8th Address:,Optional Multiple Choice,716117817,
141251197,"On the days that you played tennis, squash, or racquetball, about how much time per day did you spend doing this activity?",,745268907,
141450621,I am too busy/the study takes too much time,,861315814,
141616126,When were you vaccinated? MY,Special Function,299215535,715581797
141874857,Age drank alcohol on regular basis number,,965707586,556837046
142164107,"Age last used - During the time you last vaped cannabis, did you use it every day?",,965707586,
142318726,8-Seasonal Full Street name #2,,716117817,172669345
143093472,9-Seasonal Street number,,716117817,239279719
143206081,Feeling generally more tired than you used to feel - How long experienced COV24A,Grid with Multiple Choice Sub-Questions,299215535,749956170
143523420,Autogenerated date/time when Baseline EMR was pushed,,209454331,
143615646,Mouthwash Tube 1,,360770860,
143842026,Date/Time Anal Cancer Diagnosis Submitted,,242103797,
144320785,Israeli,Optional Select All that Apply,726699695,351657815
144446277,"Standard error of t-score for depression, PROMIS-29",,601305072,
144538509,open_status: Status if whether email was opened,,708990554,
144819886,"Feeling weak, tired and/or sick 24-48 hours after physical activity or exercise - How long experienced COV24A",Grid with Multiple Choice Sub-Questions,299215535,749956170
145078867,"How old were you when you stopped smoking cigars, cigarillos, or little filtered cigars every day?",,965707586,
145971562,Submit shipment flag,,603665257,
146107174,"Post Pan Employer Apartment, suite, unit, building, etc.",,716117817,263959391
146163703,undeliveredDate: the date Twilio has received a delivery receipt indicating that the message was not delivered,,666892582,
146307133,"Bus or streetcar/trolley, light rail/trolley- Thinking about the one-way trip from [insert address from CURWORK1 - CURWORK3/this address] to your home on a usual workday, about how much time did you usually spend in each type of transportation?",,716117817,786253125
146319128,"In the past 12 months, how often did you sunbathe outdoors with the goal of getting tan?",,965707586,
146384116,"Address 1- What [is/was] the main source of water that you [drink/drank] at [insert address from HOMEADD1 - HOMEADD3/current address/the 2nd address you provided/etc.]? Please think about water you used to make drinks such as coffee and tea, and  plain water that you  [drink/drank].",,716117817,539909957
146877593,How many months ago did you last smoke a tobacco pipe?,,965707586,
147028925,"Month - During that time, did you ever use e-cigarettes or other vaping devices for nicotine or tobacco every day?",,965707586,
147113671,Commute School Country - Follow Up,,716117817,668887646
147133250,I was worried about wasting a doctor's time.,,110511396,566579639
147176963,Verification Variable - First Name,,218595434,
147611720,"No, I used a device provided by the Connect team at my healthcare system when I donated samples",Optional Select All that Apply,506648060,649713579
147792229,About how many years did you take anti-hypertensive medication/drugs used to treat hypertension (high blood pressure)?,,745268907,
147838122,Flag for if Alternative address is an unvalidated address,,332759827,
148184166,DHQ3 at 6 months - Username,,497020618,
148197146,Duplicate type,,218595434,
148692319,Access to public transit,Select all that apply,312845734,
148846635,3-Seasonal City- Follow-up,,716117817,564684946
149205077,What is the primary cancer site identified through RCA?,,637153953,740819233
149230791,"Transportation, warehousing, and utilities (e.g., water, sanitation, electric)",Optional Select All that Apply,726699695,700374192
149476435,"Seasonal Address 3- What [is/was] the main source of water that you [drink/drank] at [insert address insert address from SEASADD1 - SEASADD3/ the 1st/2nd/3rd/etc. address you provided]? Please think about water you used to make drinks such as coffee and tea, and  plain water that you  [drink/drank].",,716117817,149476435
149514187,2-Seasonal State/Province - Follow-up,,716117817,657986901
150344905,How old are you today?,Text only Response,726699695,
150560299,Please review the list below and tell us if it includes all of the addresses where you have lived for at least two years in the last 20 years. Address 7,Optional Multiple Choice,716117817,
150818546,I do not trust the government- Refusal,,861315814,
151006826,Did you wake up several times a night?,,745268907,421859821
151161693,Walking while shopping or doing errands (Do not count walking for exercise.) during past 12 months,,745268907,733547268
151327643,Troubling remembering things - Since beginning of 2020,Grid with Multiple Choice Sub-Questions,299215535,813989715
151535519,How interested would you be in learning more about Multi-Cancer Early Detection tests given that scientists are unsure of how well they work right now?,Multiple choice,312845734,
151757360,"Bus or streetcar/trolley, light rail/trolley, light rail commute to work post pan",,716117817,421586693
151821009,South African,Optional Select All that Apply,726699695,976808005
152773041,Spring,,745268907,442059084
152833378,notificationSpecificationsID: Notification Specifications ID,,487649453,
153004469,dropped_reason: Reason why message was dropped (dropdown categories),,708990554,
153211406,What is your preferred first name?,,569151507,
153215425,How many times have you been screened for cervical cancer?,Multiple Choice,369168474,
153567535,Season Address 6-Please provide the cross streets of the intersection closest to this address:,,716117817,355179190
153713899,HIPAA revocation signed,,635994596,
153962804,Tablet,Optional Select All that Apply,506648060,145727599
154163153,1-Seasonal Full Street name #2,,716117817,200086909
154170916,Address 10- What [is/was] the source of water to [insert address from HOMEADD1 - HOMEADD3/ current address/the 2nd address you provided/etc.]?,,716117817,154170916
154229258,"[OTHER FROM CURSCHT1]- Thinking about the one-way trip from your home to [insert address from CURSCH1 - CURSCH3/this address] on a usual day, about how much time do you usually spend in each type of transportation?",,716117817,135529881
155199731,"Did your usual one-way trip to [insert address from CURWORK1 - CURWORK3/this address] from your home involve travel on a highway, parkway, freeway, or toll road? An example is pictured.",,716117817,
155535868,Other weight loss method between ages 18 and 25: Please describe [text box],Optional Select All that Apply,726699695,207025341
155874194,Genital Warts,Optional Select All that Apply,726699695,874709643
155987172,Address 8- What [is/was] the source of water to [insert address from HOMEADD1 - HOMEADD3/ current address/the 2nd address you provided/etc.]?,,716117817,211740798
156605577,Any clinical blood or urine sample received,,173836415,266600170
157417942,"Since the beginning of 2020, have you experienced any other health symptoms? [text box]",Optional Multiple Choice with Text Box (text in text box),299215535,424718457
158044532,Diabetes,Optional Select All that Apply,726699695,900541533
158186064,10-Seasonal Zip code - Follow-up,,716117817,757983656
158214723,Gum or inner cheek patch,,745268907,946849196
158291096,Pre-consent Opt-out,,883203566,
158518077,What was the source of water to [insert address from CHILDADD1 - CHILDADD3/your childhood home]? Please describe [text box],,716117817,714365367
158678876,"Other: Please describe, text box commute from past work",,716117817,251048648
158795242,"Car, van, or truck (includes carpools or van pools) commute to work",,716117817,635467479
158841370,Smoking a combination of cannabis with tobacco (such as blunts or spliffs),,965707586,830608495
160188014,10-Seasonal City,,716117817,778711683
160627865,Weakness or fatigue (tiredness),"Optional Select All that Apply, Loops",299215535,705336878
160709137,I have had a specific spot on my body screened for skin cancer,Select All That Apply,369168474,124071431
161170041,Commute School City,,716117817,914696832
161366008,Date of the start of suspend all contact,,635994596,
161579135,Proportion of Participants with Any Baseline Specimen among Verified,,581036703,
161642261,Alternative address line 3,,569151507,
162167690,Sore throat,"Optional Select All that Apply, Loops",299215535,705336878
163057677,About how many years did you take statins/cholesterol or lipid lowering drugs?,,745268907,
163149180,English,Optional Select All that Apply,726699695,797626610
163284008,I am worried that my information could be used to discriminate against me/my family,,883203566,706283025
163534562,I am worried the study might find out something concerning about me,,883203566,706283025
163623071,Season Address 2-Please provide the cross streets of the intersection closest to this address:,,716117817,509526051
163847117,UTM_Campaign,,883203566,
164233037,"5-Previous Apartment, suite, unit, building, etc.",,716117817,113930886
164595895,"In just the past 12 months, what was the usual length of your menstrual cycle? Please do not consider breakthrough bleeding (also known as spotting) as part of the menstrual cycle.",,745268907,
164707243,"During the year(s) you were drinking, when you were between ages 18 and 24, about how often did you drink alcohol?",,965707586,633553324
164752169,How old were you when you first saw a doctor or other health professional for severe or ongoing acne?,Or (xor=) Question (either/or text boxes without radio button),726699695,
164910211,Infectious Mononucleosis (Mono or Kissing Disease),Optional Select All that Apply,726699695,874709643
165350319,Enter the name of the facility or hospital where you received treatment – Line 1 (name of facility),,242103797,
165596977,Water-based flosser or pick/jet,Optional Select All that Apply,299215535,479143504
165923738,"In a usual week, about how often do you use tap water from your home to make a glass of iced tea? We are interested in all tap water, whether or not it has been filtered or treated. Please describe [text box]",,716117817,393682471
166943843,"Does your usual one-way trip to [insert address from CURWORKPOSTPAN1 - CURWORKPOSTPAN3/this address] from your home involve travel on a highway, parkway, freeway, or toll road? An example is pictured.",,716117817,
167028305,Tahitian,Optional Select All that Apply,726699695,115616118
167207966,"In total, how many months or cycles did you take Pergonal?",,745268907,
167238688,Chronic Kidney Disease (Also Known as Chronic Kidney Failure),Optional Select All that Apply,726699695,874046190
167336253,"No, I have no dentures or dental appliances.",Optional Select All that Apply,299215535,542661394
167695804,Appetite changes - Since your diagnosis,Grid with Multiple Choice Sub-Questions,299215535,847578001
167958071,Baseline Urine Collected,,104913069,
167966775,"During the season[s] in the past 12 months that you did Martial Arts (such as Karate or Judo), about how often did you do this activity?",,745268907,
167987013,Seasonal Address 5- About how deep [is/was] your private well?,,716117817,
167997205,"How long after your first menstrual period did your periods become regular? By regular, we mean that you could predict the start of your next period within a few days. If you had to take hormonal medication or device for your periods to become regular, please select Never became regular.",,745268907,
168091937,Previous Employer Zip code Follow-Up,,716117817,350394531
168431681,"How many days per week is your sleep schedule determined by your job, school, or other activities?",,745268907,
168528535,Date/Time Non-Hodgkin's Lymphoma Cancer Diagnosis Submitted,,242103797,
168563469,Did your usual one-way trip from [insert address from CURWORK1 - CURWORK3/this address] to your home involve travel on a local or neighborhood roadway? These usually have only one lane in each direction.,,716117817,
168582270,I felt hopeless,Nested,601305072,715048033
169499951,"Car, van, or truck (includes carpools or van pools)- Thinking about the one-way trip from your home to [insert address from PREWORK1 - PREWORK3/this address] on a usual workday, about how much time did you usually spend in each type of transportation?",,716117817,968388901
169509213,How many days did you receive dialysis treatment when you had COVID-19 for the [first/2nd/3rd/etc.] time?,"Text Only Response, Loops",299215535,
170035952,Seasonal Address 2- What [is/was] the source of water to [insert address insert address from SEASADD1 - SEASADD3/ the 1st/2nd/3rd/etc. address you provided?,,716117817,170035952
170440011,Is your biological mother still living?,Optional Multiple Choice,726699695,
171050898,"Now thinking about your entire life, did you ever smoke a combination of cannabis with tobacco every day?",,965707586,
172103427,"Car, van, or truck (includes carpools or van pools) commute to past work",,716117817,311891586
172676248,"Sugary beverages (e.g., soda, lemonade) (12 oz glass, bottle or can)",Nested,515124081,916948380
173155090,Does your usual one-way trip to [insert address from CURWORKPOSTPAN1 - CURWORKPOSTPAN3/this address] from your home involve travel on a major city or town roadway? These usually have two or more lanes and stoplights. An example is pictured.,,716117817,
173502329,"When was the [first/2nd/3rd/etc.] time you had COVID-19? If you are not sure, please make your best guess. Month","Multiple Text Boxes, Loops",299215535,980800222
173508724,People in house number,Text Box Plus Check Box,726699695,641651634
173836415,Collection Details,,173836415,
173979298,"Walking- Thinking about the one-way trip from your home to [insert address from CURSCH1 - CURSCH3/this address] on a usual day, about how much time do you usually spend in each type of transportation?",,716117817,135529881
174111872,8-Previous Full Street name #1,,716117817,890661849
174264982,Bag/Container/Thing 7,,948781977,
174911197,"Probiotic-containing dairy foods (e.g., Yogurt, Kefir) (1 serving)",Nested,515124081,916948380
175003260,Bicycle commute from work post pan,,716117817,799598595
175293001,Address 10- What [is/was] the source of water to [insert address from HOMEADD1 - HOMEADD3/ current address/the 2nd address you provided/etc.]? Please describe [text box],,716117817,154170916
175385712,"During the year(s) you were drinking, when you were between ages 50 and 59, about how often did you drink alcohol?",,965707586,633553324
175502589,"Walking - Thinking about the one-way trip from your home to [insert address from CURWORKPOSTPAN1 - CURWORKPOSTPAN3/this address] on a usual workday, about how much time do you usually spend in each type of transportation?",,716117817,733638576
175506524,Who requested HIPAA revocation,,635994596,175506524
175568583,"Month - During that time, did you ever smoke a combination of marijuana with tobacco every day?",,965707586,
175732191,I am concerned about my privacy- Refusal,,861315814,
175758099,"Seasonal Address 2- What [is/was] the main source of water that you [drink/drank] at [insert address insert address from SEASADD1 - SEASADD3/ the 1st/2nd/3rd/etc. address you provided]? Please think about water you used to make drinks such as coffee and tea, and  plain water that you  [drink/drank].",,716117817,823509509
175995366,"On days that you smoked cannabis when you were age [X / 18] to age [Y / 24], what is the total amount of time you smoked per day?",,965707586,
176068627,Cancer Screening History Survey Status,,369168474,
176469609,How would you rate your overall experience as a Connect participant?,Optional Multiple Choice,506648060,
177096151,Feel free to share anything else you'd like to tell us about your experience with the first Connect survey. [text box],Text Box Plus Check Box,506648060,363878103
177252178,"Now thinking about your entire life, did you ever vape cannabis every day?",,965707586,
177402915,Connect research staff at my health care system,,214456996,142654897
177526169,When was the last time you took baby or low-dose aspirin (81 mg or less)?,,745268907,
177539753,"Bus or streetcar/trolley, light rail/trolley, light rail commute to work",,716117817,635467479
178242940,"On days that you smoked when you were age [X / 25] to age [Y / 29], about how many pipe fills of tobacco did you smoke per day?",,965707586,
178318661,Stomach pain,"Optional Select All that Apply, Loops",299215535,705336878
178420302,Unavailable/Unknown,Optional Select All that Apply,726699695,384191091
178665310,"Over the past 12 months, how often did you usually drink wine?",,965707586,
179406442,"While you were in the hospital the [first/2nd/3rd/etc.] time you had COVID-19, were you treated in an intensive care unit or with ICU monitoring? If you are not sure, please make your best guess.","Optional Multiple Choice, Loops",299215535,435597481
179510070,"How many months ago did you last consume cannabis edibles, drinks, or capsules?",,965707586,
179665441,I found it hard to focus on anything other than my anxiety,Nested,601305072,404946076
